,SystemName,SchoolName,Cluster,Street,City,Zip_Code,SingleScore,Latitude,Longitude
126,Bartow County,Woodland Middle School,M,1061 Euharlee Rd,Euharlee,30145,70.3,34.1738642,-84.9583479
129,Bartow County,Clear Creek Elementary School,E,50 Pleasant Valley Rd NW,Cartersville,30121,70.4,43.01479167292886,-77.02987210930783
130,Bartow County,Adairsville High School,H,519 Old Highway 41 NW,Adairsville,30103,72.5,34.34021894999999,-84.91739567721248
131,Bartow County,Pine Log Elementary School,E,1095 Cass Pine Log Rd,Rydal,30171,81.4,39.920841,-90.273525
132,Bartow County,Euharlee Elementary School,E,1058 Euharlee Rd,Euharlee,30145,66.2,34.1738642,-84.9583479
133,Bartow County,Cass High School,H,1000 Colonel Way,White,30184,75.5,34.28193315,-84.76229499463555
134,Bartow County,Adairsville Elementary School,E,122 King St,Adairsville,30103,74.2,34.37019338276108,-84.9393872728273
135,Bartow County,Mission Road Elementary School,E,1100 Mission Rd SW,Cartersville,30120,82.3,34.161527,-84.878599
136,Bartow County,South Central Middle School,M,224 Old Alabama Rd SE,Emerson,30137,64.7,34.1196215411204,-84.76417973679628
137,Bartow County,Cass Middle School,M,195 Fire Tower Rd NW,Cartersville,30120,66.6,34.240278685450455,-84.87413375334451
138,Bartow County,Allatoona Elementary School,E,4150 New Hope Church Rd SE,Acworth,30102,76.3,34.11674585646283,-84.67088496340807
139,Bartow County,Woodland High School,H,800 Old Alabama Rd SE,Cartersville,30120,75.2,34.1187728,-84.8312484
141,Bartow County,Kingston Elementary School,E,240 Hardin Bridge Rd,Kingston,30145,73.2,34.2014667,-84.932344
142,Bartow County,Adairsville Middle School,M,485 Old Highway 41 NW,Adairsville,30103,71.4,34.33493465,-84.91607779242376
143,Bartow County,Hamilton Crossing Elementary School,E,116 Hamilton Crossing Rd NW,Cartersville,30120,65.2,34.23437080338187,-84.86485918453027
144,Bartow County,Taylorsville Elementary School,E,1502 Old Alabama Rd,Taylorsville,30178,69.2,34.108652,-84.945245
145,Carroll County,Sharp Creek Elementary School,E,115 Old Muse Rd,Carrollton,30116,65.3,33.6491748218246,-85.04901504105925
146,Carroll County,Bowdon Middle School,M,129 N Jonesville Rd,Bowdon,30108,75.2,33.564148985994024,-85.23075871324696
147,Carroll County,Temple Middle School,M,275 Rainey Rd,Temple,30179,69.6,33.74844296779759,-85.02745630071159
148,Carroll County,Providence Elementary School,E,287 Rainey Rd,Temple,30179,83.6,33.74850975494293,-85.0272876756041
149,Carroll County,Mount Zion Elementary School,E,260 Eureka Church Rd,Carrollton,30117,64.2,33.60290853944516,-85.15875487235436
151,Carroll County,Central Middle School,M,155 Whooping Creek Rd,Carrollton,30116,83.8,33.518517,-85.044144
152,Carroll County,Temple High School,H,589 Sage St,Temple,30179,79.5,33.73359959198984,-85.02596771222437
