,SchoolName,Latitude,Longitude
87,Peachtree City Elementary School,33.409093,-84.598816
88,Big Creek Elementary School,34.1586432,-84.1731772
89,Midway Elementary School,34.1572052,-84.2436393
90,Roberts Elementary School,34.07246485,-84.05124209045073
91,Burnette Elementary School,34.031976263157894,-84.06770531578947
92,Dyer Elementary School,33.99700208020034,-83.93574101717066
93,Starling Elementary School,33.902589,-83.96566870000001
94,Northbrook Middle School,34.006159390010126,-84.06739268608824
95,White Oak Elementary School,34.143423247866025,-84.06394197824294
96,Level Creek Elementary School,34.071138700000006,-84.0710562
97,North Gwinnett Middle School,34.07897625,-84.06130340959783
98,Twin Rivers Middle School,34.04503545523997,-83.94501063566655
99,Harmony Elementary School,34.097182399999994,-83.9796113
100,Camp Creek Elementary School,33.8701119,-84.1232268
101,North Gwinnett High School,34.096376,-84.050925
102,Brandon Elementary School,33.838648,-84.422438
103,Jackson Elementary School,33.8635586,-84.43998979999999
104,Mary Lin Elementary School,33.76952844524761,-84.33943998713966
105,West Side Elementary School,33.956485400000005,-84.56223294332759
106,Apalachee High School,33.950889256354536,-83.78854494113206
107,County Line Elementary School,34.029467600000004,-83.7329283
108,Haymon-Morris Middle School,33.950554,-83.779087
109,Bear Creek Middle School,33.969367210105986,-83.59134429964668
110,Kennedy Elementary School,33.981683000000004,-83.763614
111,Bramlett Elementary School,34.03526366169005,-83.80881490930355
112,Westside Middle School,33.981700482768176,-83.76364847990392
113,Russell Middle School,33.997433900000004,-83.72303025588826
114,Yargo Elementary School,33.950554,-83.779087
115,Winder Elementary School,34.00471300047373,-83.73351619269206
116,Woodland Middle School,34.173864200000004,-84.9583479
117,Clear Creek Elementary School,43.01479167292886,-77.02987210930783
118,Adairsville High School,34.34021894999999,-84.91739567721248
119,Pine Log Elementary School,39.920840999999996,-90.273525
120,Euharlee Elementary School,34.173864200000004,-84.9583479
121,Cass High School,34.28193315,-84.76229499463554
122,Adairsville Elementary School,34.37019338276108,-84.9393872728273
123,Mission Road Elementary School,34.161527,-84.878599
124,South Central Middle School,34.1196215411204,-84.76417973679628
125,Cass Middle School,34.24027868545045,-84.87413375334452
126,Allatoona Elementary School,34.11674585646283,-84.67088496340806
127,Woodland High School,34.118772799999995,-84.8312484
128,Kingston Elementary School,34.201466700000005,-84.932344
129,Adairsville Middle School,34.33493465,-84.91607779242376
130,Hamilton Crossing Elementary School,34.23437080338187,-84.86485918453027
131,Taylorsville Elementary School,34.108652,-84.945245
132,Sharp Creek Elementary School,33.6491748218246,-85.04901504105925
133,Bowdon Middle School,33.564148985994024,-85.23075871324696
134,Temple Middle School,33.74844296779759,-85.02745630071159
135,Providence Elementary School,33.74850975494293,-85.0272876756041
136,Mount Zion Elementary School,33.60290853944516,-85.15875487235435
137,Central Middle School,33.518516999999996,-85.04414399999999
138,Temple High School,33.733599591989844,-85.02596771222437
139,Bay Springs Middle School,33.68923189795918,-84.93659608163266
140,Mt. Zion Middle School ,33.6330461,-85.18561329999999
141,Mt. Zion High School,33.60339568815402,-85.1591112386904
142,Villa Rica Middle School,33.78044895,-84.96993361325508
